Row,Column,Value
Genus:sp14,Genus:sp28,0.04359
Genus:sp14,Genus:sp29,0.04358
Genus:sp14,Genus:sp3,0.06901
Genus:sp14,Genus:sp30,0.04231
Genus:sp14,Genus:sp31,0.04321
Genus:sp14,Genus:sp32,0.0565
Genus:sp14,Genus:sp33,0.01567
Genus:sp14,Genus:sp34,0.04607
Genus:sp14,Genus:sp35,0.04691
Genus:sp14,Genus:sp36,0.06187
Genus:sp14,Genus:sp37,0.04333
Genus:sp14,Genus:sp38,0.02131
Genus:sp14,Genus:sp39,0.05992
Genus:sp14,Genus:sp4,0.05792
Genus:sp14,Genus:sp40,0.00375
Genus:sp14,Genus:sp41,0.03985
Genus:sp14,Genus:sp42,0.05585
Genus:sp14,Genus:sp43,0.04482
Genus:sp14,Genus:sp44,0.05873
Genus:sp14,Genus:sp45,0.05314
Genus:sp14,Genus:sp46,0.05525
Genus:sp14,Genus:sp47,0.04656
Genus:sp14,Genus:sp48,0.049
Genus:sp14,Genus:sp49,0.04068
Genus:sp14,Genus:sp5,0.07602
Genus:sp14,Genus:sp50,0.04607
Genus:sp14,Genus:sp51,0.04389
Genus:sp14,Genus:sp52,0.06388
Genus:sp14,Genus:sp53,0.04619
Genus:sp14,Genus:sp54,0.05077
Genus:sp14,Genus:sp55,0.04438
Genus:sp14,Genus:sp56,0.04374
Genus:sp14,Genus:sp57,0.04475
Genus:sp14,Genus:sp58,0.03942
Genus:sp14,Genus:sp59,0.02506
Genus:sp14,Genus:sp6,0.03506
Genus:sp14,Genus:sp60,0.02354
Genus:sp14,Genus:sp61,0.02528
Genus:sp14,Genus:sp62,0.05939
Genus:sp14,Genus:sp63,0.00257
Genus:sp14,Genus:sp64,0.04175
Genus:sp14,Genus:sp65,0.02353
Genus:sp14,Genus:sp66,0.02185
Genus:sp14,Genus:sp67,0.04076
Genus:sp14,Genus:sp68,0.02018
Genus:sp14,Genus:sp69,0.04674
Genus:sp14,Genus:sp7,0.03169
Genus:sp14,Genus:sp8,0.07215
Genus:sp14,Genus:sp9,0.06868
Genus:sp15,Genus:sp10,0.04745
Genus:sp15,Genus:sp11,0.03182
Genus:sp15,Genus:sp12,0.04106
Genus:sp15,Genus:sp13,0.05065
Genus:sp15,Genus:sp14,0.03882
Genus:sp15,Genus:sp15,0.06595
Genus:sp15,Genus:sp16,0.06143
Genus:sp15,Genus:sp17,0.06138
Genus:sp15,Genus:sp18,0.0762
Genus:sp15,Genus:sp19,0.06852
Genus:sp15,Genus:sp2,0.04924
Genus:sp15,Genus:sp20,0.03106
Genus:sp15,Genus:sp21,0.06764
Genus:sp15,Genus:sp22,0.06788
Genus:sp15,Genus:sp23,0.06025
Genus:sp15,Genus:sp24,0.03636
Genus:sp15,Genus:sp25,0.0599
Genus:sp15,Genus:sp26,0.07301
Genus:sp15,Genus:sp27,0.06771
Genus:sp15,Genus:sp28,0.03791
Genus:sp15,Genus:sp29,0.03497
Genus:sp15,Genus:sp3,0.0115
Genus:sp15,Genus:sp30,0.03271
Genus:sp15,Genus:sp31,0.03287
Genus:sp15,Genus:sp32,0.07313
Genus:sp15,Genus:sp33,0.06238
Genus:sp15,Genus:sp34,0.03708
Genus:sp15,Genus:sp35,0.0608
Genus:sp15,Genus:sp36,0.07315
Genus:sp15,Genus:sp37,0.0702
Genus:sp15,Genus:sp38,0.0579
Genus:sp15,Genus:sp39,0.07274
Genus:sp15,Genus:sp4,0.04241
Genus:sp15,Genus:sp40,0.05936
Genus:sp15,Genus:sp41,0.03435
Genus:sp15,Genus:sp42,0.06874
Genus:sp15,Genus:sp43,0.06273
Genus:sp15,Genus:sp44,0.07459
Genus:sp15,Genus:sp45,0.06957
Genus:sp15,Genus:sp46,0.06736
Genus:sp15,Genus:sp47,0.03687
Genus:sp15,Genus:sp48,0.06914
Genus:sp15,Genus:sp49,0.03237
Genus:sp15,Genus:sp5,0.0644
Genus:sp15,Genus:sp50,0.03761
Genus:sp15,Genus:sp51,0.06815
Genus:sp15,Genus:sp52,0.07495
Genus:sp15,Genus:sp53,0.0694
Genus:sp15,Genus:sp54,0.06592
Genus:sp15,Genus:sp55,0.06849
Genus:sp15,Genus:sp56,0.04706
Genus:sp15,Genus:sp57,0.07048
Genus:sp15,Genus:sp58,0.03167
Genus:sp15,Genus:sp59,0.05894
Genus:sp15,Genus:sp6,0.04728
Genus:sp15,Genus:sp60,0.0603
