Element,Axis_0,LENGTHTOPARENT,NAME,NODE_NUMBER,PARENTNODE,TREENAME
85,85,0.25,3650000:1150000,85,83,anonymous_0
86,86,0.229292929292929,56___,86,82,anonymous_0
87,87,0.075,46___,87,86,anonymous_0
88,88,0.125,3450000:950000,88,87,anonymous_0
89,89,0.125,3550000:1050000,89,87,anonymous_0
9,9,0.333333333333333,3350000:950000,9,7,anonymous_0
90,90,0.2,3550000:1150000,90,86,anonymous_0
91,91,0.267930957930958,66___,91,81,anonymous_0
92,92,0.25,3450000:1150000,92,91,anonymous_0
93,93,0.25,3450000:850000,93,91,anonymous_0
94,94,0.299758574758575,77___,94,80,anonymous_0
95,95,0.333333333333333,3750000:1350000,95,94,anonymous_0
96,96,0.333333333333333,3850000:1650000,96,94,anonymous_0
97,97,0.659591642924976,3750000:1550000,97,79,anonymous_0
98,98,0.131509129575162,108___,98,78,anonymous_0
99,99,0.066874027647837,102___,99,98,anonymous_0
